annotation_id,participant_id,participant_type,completion_code,timestamp,created_at,config_version,failed,failure_reason,quiz_score,quiz_total,sanity_checks_passed,sanity_checks_total,response_type,answer,choice,pair_index,description_a,description_b,score_a,score_b
260,A8AEFZTMDVN0Z,paid,5MZU567U,2026-05-28 01:18:50.737,2026-05-28 01:18:51.147625,v2.0-official,f,,8,10,3,4,regular,right_476,right,476,try the taval,take the taval,60,86
260,A8AEFZTMDVN0Z,paid,5MZU567U,2026-05-28 01:18:50.737,2026-05-28 01:18:51.147625,v2.0-official,f,,8,10,3,4,regular,right_384,right,384,try the cup,take thecup,66,59
260,A8AEFZTMDVN0Z,paid,5MZU567U,2026-05-28 01:18:50.737,2026-05-28 01:18:51.147625,v2.0-official,f,,8,10,3,4,regular,left_233,left,233,take the small,try the small,70,70
260,A8AEFZTMDVN0Z,paid,5MZU567U,2026-05-28 01:18:50.737,2026-05-28 01:18:51.147625,v2.0-official,f,,8,10,3,4,regular,left_275,left,275,take the thuni,try the thuni,81,60
260,A8AEFZTMDVN0Z,paid,5MZU567U,2026-05-28 01:18:50.737,2026-05-28 01:18:51.147625,v2.0-official,f,,8,10,3,4,regular,left_295,left,295,take the bowl,try the pwel,100,54
260,A8AEFZTMDVN0Z,paid,5MZU567U,2026-05-28 01:18:50.737,2026-05-28 01:18:51.147625,v2.0-official,f,,8,10,3,4,regular,left_472,left,472,take the taval,try tyhe taval,69,52
260,A8AEFZTMDVN0Z,paid,5MZU567U,2026-05-28 01:18:50.737,2026-05-28 01:18:51.147625,v2.0-official,f,,8,10,3,4,regular,left_404,left,404,take the bottle,take the bottle,100,96
260,A8AEFZTMDVN0Z,paid,5MZU567U,2026-05-28 01:18:50.737,2026-05-28 01:18:51.147625,v2.0-official,f,,8,10,3,4,regular,left_656,left,656,try tthe cup,try the cup,77,63
260,A8AEFZTMDVN0Z,paid,5MZU567U,2026-05-28 01:18:50.737,2026-05-28 01:18:51.147625,v2.0-official,f,,8,10,3,4,regular,left_360,left,360,take the bottle,try the bottle,65,56
260,A8AEFZTMDVN0Z,paid,5MZU567U,2026-05-28 01:18:50.737,2026-05-28 01:18:51.147625,v2.0-official,f,,8,10,3,4,regular,left_459,left,459,try the cup,try the cup,72,62
260,A8AEFZTMDVN0Z,paid,5MZU567U,2026-05-28 01:18:50.737,2026-05-28 01:18:51.147625,v2.0-official,f,,8,10,3,4,regular,right_305,right,305,try the powel,take the powel,69,83
260,A8AEFZTMDVN0Z,paid,5MZU567U,2026-05-28 01:18:50.737,2026-05-28 01:18:51.147625,v2.0-official,f,,8,10,3,4,regular,left_586,left,586,take the cvup,try the cup,79,70
260,A8AEFZTMDVN0Z,paid,5MZU567U,2026-05-28 01:18:50.737,2026-05-28 01:18:51.147625,v2.0-official,f,,8,10,3,4,regular,left_399,left,399,take the bottle,try the bottle,85,60
260,A8AEFZTMDVN0Z,paid,5MZU567U,2026-05-28 01:18:50.737,2026-05-28 01:18:51.147625,v2.0-official,f,,8,10,3,4,regular,left_512,left,512,take the cup,try the cup,86,55
260,A8AEFZTMDVN0Z,paid,5MZU567U,2026-05-28 01:18:50.737,2026-05-28 01:18:51.147625,v2.0-official,f,,8,10,3,4,regular,right_355,right,355,try the ,take the,84,66
260,A8AEFZTMDVN0Z,paid,5MZU567U,2026-05-28 01:18:50.737,2026-05-28 01:18:51.147625,v2.0-official,f,,8,10,3,4,regular,left_627,left,627,take the green,try the green,100,62
260,A8AEFZTMDVN0Z,paid,5MZU567U,2026-05-28 01:18:50.737,2026-05-28 01:18:51.147625,v2.0-official,f,,8,10,3,4,regular,left_226,left,226,try the,try the,73,65
260,A8AEFZTMDVN0Z,paid,5MZU567U,2026-05-28 01:18:50.737,2026-05-28 01:18:51.147625,v2.0-official,f,,8,10,3,4,regular,right_4,right,4,try the powel,take the powel,74,99
260,A8AEFZTMDVN0Z,paid,5MZU567U,2026-05-28 01:18:50.737,2026-05-28 01:18:51.147625,v2.0-official,f,,8,10,3,4,regular,left_589,left,589,take the cup,try the the cup,95,62
260,A8AEFZTMDVN0Z,paid,5MZU567U,2026-05-28 01:18:50.737,2026-05-28 01:18:51.147625,v2.0-official,f,,8,10,3,4,regular,right_195,right,195,try the spring,take the speing,71,100
260,A8AEFZTMDVN0Z,paid,5MZU567U,2026-05-28 01:18:50.737,2026-05-28 01:18:51.147625,v2.0-official,f,,8,10,3,4,regular,left_418,left,418,take the cup,try the cup,90,53
260,A8AEFZTMDVN0Z,paid,5MZU567U,2026-05-28 01:18:50.737,2026-05-28 01:18:51.147625,v2.0-official,f,,8,10,3,4,regular,left_562,left,562,take the cup,try the cup,85,67
260,A8AEFZTMDVN0Z,paid,5MZU567U,2026-05-28 01:18:50.737,2026-05-28 01:18:51.147625,v2.0-official,f,,8,10,3,4,regular,left_722,left,722,take the bottle,try the bottle,100,62
262,A1CCWENTISCPVY,paid,M3UQ9H2M,2026-05-28 03:19:56.41,2026-05-28 03:19:59.602787,v2.0-official,f,,10,10,14,15,regular,left_240,left,240,try to reach the yellow duck,does nothing meaningful,63,6
262,A1CCWENTISCPVY,paid,M3UQ9H2M,2026-05-28 03:19:56.41,2026-05-28 03:19:59.602787,v2.0-official,f,,10,10,14,15,regular,right_689,right,689,reaches the cup but fails to pour something,successfylly pick the cup and pour something granular,17,93
262,A1CCWENTISCPVY,paid,M3UQ9H2M,2026-05-28 03:19:56.41,2026-05-28 03:19:59.602787,v2.0-official,f,,10,10,14,15,regular,same_26,same,26,try to reach the green brick,try to reach the green brick,35,31
262,A1CCWENTISCPVY,paid,M3UQ9H2M,2026-05-28 03:19:56.41,2026-05-28 03:19:59.602787,v2.0-official,f,,10,10,14,15,regular,right_105,right,105,try to reaches the cup,reach the cup and pick up it but fails to pour it ,16,60
262,A1CCWENTISCPVY,paid,M3UQ9H2M,2026-05-28 03:19:56.41,2026-05-28 03:19:59.602787,v2.0-official,f,,10,10,14,15,regular,left_457,left,457,try to reach the gray tape,does nothing meaningful,82,24
262,A1CCWENTISCPVY,paid,M3UQ9H2M,2026-05-28 03:19:56.41,2026-05-28 03:19:59.602787,v2.0-official,f,,10,10,14,15,regular,right_215,right,215,pick up the scrub before the object and fallit down,pick up the object and scrub but put it down before completing the task,23,84
262,A1CCWENTISCPVY,paid,M3UQ9H2M,2026-05-28 03:19:56.41,2026-05-28 03:19:59.602787,v2.0-official,f,,10,10,14,15,regular,right_390,right,390,it reach the mug before pick up he pen,reach near the pen but fail to pick it up,13,71
262,A1CCWENTISCPVY,paid,M3UQ9H2M,2026-05-28 03:19:56.41,2026-05-28 03:19:59.602787,v2.0-official,f,,10,10,14,15,regular,right_106,right,106,try to reach the cup,reach and pick up the cup and pour into the bowl,13,89
262,A1CCWENTISCPVY,paid,M3UQ9H2M,2026-05-28 03:19:56.41,2026-05-28 03:19:59.602787,v2.0-official,f,,10,10,14,15,regular,right_418,right,418,try to pick up the mug,pick up the mug and move it to the left,75,91
262,A1CCWENTISCPVY,paid,M3UQ9H2M,2026-05-28 03:19:56.41,2026-05-28 03:19:59.602787,v2.0-official,f,,10,10,14,15,regular,left_90,left,90,reach and pick up the cup and fails to pour something,try to reach the cup,85,19
262,A1CCWENTISCPVY,paid,M3UQ9H2M,2026-05-28 03:19:56.41,2026-05-28 03:19:59.602787,v2.0-official,f,,10,10,14,15,regular,right_59,right,59,reach and stack blue cup and try the same it on the brown cup,reach and move two cups one by one ,75,91
262,A1CCWENTISCPVY,paid,M3UQ9H2M,2026-05-28 03:19:56.41,2026-05-28 03:19:59.602787,v2.0-official,f,,10,10,14,15,regular,left_608,left,608,reach and pick up the yellow cup,reach near the yellow cup but fails to pick it up,81,16
262,A1CCWENTISCPVY,paid,M3UQ9H2M,2026-05-28 03:19:56.41,2026-05-28 03:19:59.602787,v2.0-official,f,,10,10,14,15,regular,right_741,right,741,try to reach the blue cup,reach the brown and yellow cup but push it down,27,63
262,A1CCWENTISCPVY,paid,M3UQ9H2M,2026-05-28 03:19:56.41,2026-05-28 03:19:59.602787,v2.0-official,f,,10,10,14,15,regular,right_303,right,303,does nothing meaningful,reach and stack the brown bowl near to the black bowl,21,79
262,A1CCWENTISCPVY,paid,M3UQ9H2M,2026-05-28 03:19:56.41,2026-05-28 03:19:59.602787,v2.0-official,f,,10,10,14,15,regular,right_135,right,135,does nothing meaningful,reach near the yellow black but fails to pick it up,16,86
262,A1CCWENTISCPVY,paid,M3UQ9H2M,2026-05-28 03:19:56.41,2026-05-28 03:19:59.602787,v2.0-official,f,,10,10,14,15,regular,right_165,right,165,try to pick up the small bottle,reach and move the bottle to end of the table,18,82
262,A1CCWENTISCPVY,paid,M3UQ9H2M,2026-05-28 03:19:56.41,2026-05-28 03:19:59.602787,v2.0-official,f,,10,10,14,15,regular,left_605,left,605,reach and pick up the yellow cup,make many attempts to pick up the yellow cup,86,14
262,A1CCWENTISCPVY,paid,M3UQ9H2M,2026-05-28 03:19:56.41,2026-05-28 03:19:59.602787,v2.0-official,f,,10,10,14,15,regular,right_313,right,313,make some attempts to reach the bowl,reach the block bowl and move aside but fails to move near the brown bowl,15,54
262,A1CCWENTISCPVY,paid,M3UQ9H2M,2026-05-28 03:19:56.41,2026-05-28 03:19:59.602787,v2.0-official,f,,10,10,14,15,regular,same_386,same,386,reach near the cup without pick up the pen,reach near the cup without pick up the pen,16,16
262,A1CCWENTISCPVY,paid,M3UQ9H2M,2026-05-28 03:19:56.41,2026-05-28 03:19:59.602787,v2.0-official,f,,10,10,14,15,regular,right_115,right,115,does nothing meaningful,reach near the yellow block and try to pick it up,16,84
262,A1CCWENTISCPVY,paid,M3UQ9H2M,2026-05-28 03:19:56.41,2026-05-28 03:19:59.602787,v2.0-official,f,,10,10,14,15,regular,right_204,right,204,reach near the scrub only,reach the scrub and try to pick up with object,10,68
262,A1CCWENTISCPVY,paid,M3UQ9H2M,2026-05-28 03:19:56.41,2026-05-28 03:19:59.602787,v2.0-official,f,,10,10,14,15,regular,same_285,same,285,reach near the black object instead of pick up the toy bear,reach near the black object instead of pick up the toy bear,8,8
262,A1CCWENTISCPVY,paid,M3UQ9H2M,2026-05-28 03:19:56.41,2026-05-28 03:19:59.602787,v2.0-official,f,,10,10,14,15,regular,left_626,left,626,put a green lego into the bowl and reach the red lego,put a red lego into a bowl but fails to reach the green lego,84,61
262,A1CCWENTISCPVY,paid,M3UQ9H2M,2026-05-28 03:19:56.41,2026-05-28 03:19:59.602787,v2.0-official,f,,10,10,14,15,regular,right_380,right,380,try to reach the mug without pick up the pen ,reach near the pen but fails to pick it up,14,76
262,A1CCWENTISCPVY,paid,M3UQ9H2M,2026-05-28 03:19:56.41,2026-05-28 03:19:59.602787,v2.0-official,f,,10,10,14,15,regular,left_55,left,55,pick up the blue cup and stack near the brown cup,try to pick up the cup,71,17
262,A1CCWENTISCPVY,paid,M3UQ9H2M,2026-05-28 03:19:56.41,2026-05-28 03:19:59.602787,v2.0-official,f,,10,10,14,15,regular,right_64,right,64,reach near the other object instead of the two cups,reach near the blue cup but fails to pick it up,15,84
262,A1CCWENTISCPVY,paid,M3UQ9H2M,2026-05-28 03:19:56.41,2026-05-28 03:19:59.602787,v2.0-official,f,,10,10,14,15,regular,right_372,right,372,reach near the yellow cup ,try to reach and pick up the pen,18,65
262,A1CCWENTISCPVY,paid,M3UQ9H2M,2026-05-28 03:19:56.41,2026-05-28 03:19:59.602787,v2.0-official,f,,10,10,14,15,regular,right_700,right,700,reach near the bowl without pick up the cup,reach and pick up the cup but fails to completing the task,21,82
262,A1CCWENTISCPVY,paid,M3UQ9H2M,2026-05-28 03:19:56.41,2026-05-28 03:19:59.602787,v2.0-official,f,,10,10,14,15,regular,left_596,left,596,reach and pick up the yellow cup and place it on the bowl,try to reach the yellow cup,88,19
262,A1CCWENTISCPVY,paid,M3UQ9H2M,2026-05-28 03:19:56.41,2026-05-28 03:19:59.602787,v2.0-official,f,,10,10,14,15,regular,right_225,right,225,does nothing meaningful,make some movements to reach the yellow duck,12,58
262,A1CCWENTISCPVY,paid,M3UQ9H2M,2026-05-28 03:19:56.41,2026-05-28 03:19:59.602787,v2.0-official,f,,10,10,14,15,regular,right_397,right,397,pick up the mug and move on all sides,reach and move the mug on left side,81,88
262,A1CCWENTISCPVY,paid,M3UQ9H2M,2026-05-28 03:19:56.41,2026-05-28 03:19:59.602787,v2.0-official,f,,10,10,14,15,regular,right_701,right,701,reach the bowl instead of cup,reach the cup but fails to pick it up,21,83
262,A1CCWENTISCPVY,paid,M3UQ9H2M,2026-05-28 03:19:56.41,2026-05-28 03:19:59.602787,v2.0-official,f,,10,10,14,15,regular,left_436,left,436,reach and move the tape,try to reach the tape,76,18
262,A1CCWENTISCPVY,paid,M3UQ9H2M,2026-05-28 03:19:56.41,2026-05-28 03:19:59.602787,v2.0-official,f,,10,10,14,15,regular,right_476,right,476,move the grey towl instead of blue towel,reach and Move the blue towel slightly to the right on the mat,20,84
262,A1CCWENTISCPVY,paid,M3UQ9H2M,2026-05-28 03:19:56.41,2026-05-28 03:19:59.602787,v2.0-official,f,,10,10,14,15,regular,left_344,left,344,try to reach the cup, place pen on the sheet and push the cup,65,19
262,A1CCWENTISCPVY,paid,M3UQ9H2M,2026-05-28 03:19:56.41,2026-05-28 03:19:59.602787,v2.0-official,f,,10,10,14,15,regular,left_68,left,68,reach near the two cups but fails to stack it,try to reach the two cups,84,60
262,A1CCWENTISCPVY,paid,M3UQ9H2M,2026-05-28 03:19:56.41,2026-05-28 03:19:59.602787,v2.0-official,f,,10,10,14,15,regular,same_377,same,377,reach only near the mug but fails to pick up the pen,reach only near the mug but fails to pick up the pen,16,16
262,A1CCWENTISCPVY,paid,M3UQ9H2M,2026-05-28 03:19:56.41,2026-05-28 03:19:59.602787,v2.0-official,f,,10,10,14,15,regular,right_193,right,193,reach near the jug,pick up the scrub but put it down before completing the task,14,87
262,A1CCWENTISCPVY,paid,M3UQ9H2M,2026-05-28 03:19:56.41,2026-05-28 03:19:59.602787,v2.0-official,f,,10,10,14,15,regular,right_549,right,549,reach near the bowl only,reach near the cup but fails to pick it up,58,75
262,A1CCWENTISCPVY,paid,M3UQ9H2M,2026-05-28 03:19:56.41,2026-05-28 03:19:59.602787,v2.0-official,f,,10,10,14,15,regular,right_131,right,131,does nothing meaningful,reach near the yellow block,11,83
262,A1CCWENTISCPVY,paid,M3UQ9H2M,2026-05-28 03:19:56.41,2026-05-28 03:19:59.602787,v2.0-official,f,,10,10,14,15,regular,right_326,right,326,reach near the pen and push it near the cup,reach near the up and make some attempts to pick it up,63,80
262,A1CCWENTISCPVY,paid,M3UQ9H2M,2026-05-28 03:19:56.41,2026-05-28 03:19:59.602787,v2.0-official,f,,10,10,14,15,regular,left_509,left,509,reach and move the cup at the end of the table,reach and push the cup,92,61
262,A1CCWENTISCPVY,paid,M3UQ9H2M,2026-05-28 03:19:56.41,2026-05-28 03:19:59.602787,v2.0-official,f,,10,10,14,15,regular,left_631,left,631,pick and put two lego on the bowl,only reach near the lego,89,14
262,A1CCWENTISCPVY,paid,M3UQ9H2M,2026-05-28 03:19:56.41,2026-05-28 03:19:59.602787,v2.0-official,f,,10,10,14,15,regular,right_493,right,493,does nothing meaningful,reach and push the blue towel near the black cloth,15,79
262,A1CCWENTISCPVY,paid,M3UQ9H2M,2026-05-28 03:19:56.41,2026-05-28 03:19:59.602787,v2.0-official,f,,10,10,14,15,regular,right_620,right,620,put only green lego on the bowl,successfully put two lego on the bowl,74,96
262,A1CCWENTISCPVY,paid,M3UQ9H2M,2026-05-28 03:19:56.41,2026-05-28 03:19:59.602787,v2.0-official,f,,10,10,14,15,regular,left_125,left,125,reach near the yellow block,reach near the red block instead of yellow,59,17
262,A1CCWENTISCPVY,paid,M3UQ9H2M,2026-05-28 03:19:56.41,2026-05-28 03:19:59.602787,v2.0-official,f,,10,10,14,15,regular,left_553,left,553,reach near the cup,does nothing meaningful,83,13
262,A1CCWENTISCPVY,paid,M3UQ9H2M,2026-05-28 03:19:56.41,2026-05-28 03:19:59.602787,v2.0-official,f,,10,10,14,15,regular,right_328,right,328,reach and push the pen near to the cup,reach near the cup and fail to pick it up,18,70
262,A1CCWENTISCPVY,paid,M3UQ9H2M,2026-05-28 03:19:56.41,2026-05-28 03:19:59.602787,v2.0-official,f,,10,10,14,15,regular,right_15,right,15,reach near the green brick only,reach near the green brick and make some attempts to pick it up,65,71
262,A1CCWENTISCPVY,paid,M3UQ9H2M,2026-05-28 03:19:56.41,2026-05-28 03:19:59.602787,v2.0-official,f,,10,10,14,15,regular,right_182,right,182,does nothing meaningful,pick up the scrub and put it down before completing the task,11,88
262,A1CCWENTISCPVY,paid,M3UQ9H2M,2026-05-28 03:19:56.41,2026-05-28 03:19:59.602787,v2.0-official,f,,10,10,14,15,regular,left_327,left,327,reach and attempts to pick up the cup,only make some attempts to reach the cup,79,47
262,A1CCWENTISCPVY,paid,M3UQ9H2M,2026-05-28 03:19:56.41,2026-05-28 03:19:59.602787,v2.0-official,f,,10,10,14,15,regular,left_255,left,255,reach and pick up the toy bear then put ito the bowl,reach the toy bear and fails to pick it up,91,77
262,A1CCWENTISCPVY,paid,M3UQ9H2M,2026-05-28 03:19:56.41,2026-05-28 03:19:59.602787,v2.0-official,f,,10,10,14,15,regular,right_385,right,385,reach near the cup before pick up the pen,reach near the pen and make some attempts to pick it up,12,84
262,A1CCWENTISCPVY,paid,M3UQ9H2M,2026-05-28 03:19:56.41,2026-05-28 03:19:59.602787,v2.0-official,f,,10,10,14,15,regular,left_402,left,402,pick up and move the mug to the left,move the mug to the right,81,68
262,A1CCWENTISCPVY,paid,M3UQ9H2M,2026-05-28 03:19:56.41,2026-05-28 03:19:59.602787,v2.0-official,f,,10,10,14,15,regular,left_233,left,233,reach near the yellow duck,make some attempts to reach the yellow duck,86,61
262,A1CCWENTISCPVY,paid,M3UQ9H2M,2026-05-28 03:19:56.41,2026-05-28 03:19:59.602787,v2.0-official,f,,10,10,14,15,regular,right_116,right,116,does nothing meaningful,try to reach near the yellow block,10,58
262,A1CCWENTISCPVY,paid,M3UQ9H2M,2026-05-28 03:19:56.41,2026-05-28 03:19:59.602787,v2.0-official,f,,10,10,14,15,regular,right_353,right,353,try to reach the cup,reach and push the cup before completing the task,20,78
262,A1CCWENTISCPVY,paid,M3UQ9H2M,2026-05-28 03:19:56.41,2026-05-28 03:19:59.602787,v2.0-official,f,,10,10,14,15,regular,right_732,right,732,reach near the cup but fails to stack it,reach the cups and make some attempts to stack it,60,73
262,A1CCWENTISCPVY,paid,M3UQ9H2M,2026-05-28 03:19:56.41,2026-05-28 03:19:59.602787,v2.0-official,f,,10,10,14,15,regular,right_348,right,348,try to reach near the cup,reach near the cup but fails to pick it up,22,85
262,A1CCWENTISCPVY,paid,M3UQ9H2M,2026-05-28 03:19:56.41,2026-05-28 03:19:59.602787,v2.0-official,f,,10,10,14,15,regular,same_216,same,216,reach near the yellow duck,reach near the yellow duck,53,60
262,A1CCWENTISCPVY,paid,M3UQ9H2M,2026-05-28 03:19:56.41,2026-05-28 03:19:59.602787,v2.0-official,f,,10,10,14,15,regular,left_425,left,425,reach and move the mug to the left,reach and push the mug,74,66
262,A1CCWENTISCPVY,paid,M3UQ9H2M,2026-05-28 03:19:56.41,2026-05-28 03:19:59.602787,v2.0-official,f,,10,10,14,15,regular,same_362,same,362,reach near the cup without pick up the pen,reach near the cup without pick up the pen,54,54
262,A1CCWENTISCPVY,paid,M3UQ9H2M,2026-05-28 03:19:56.41,2026-05-28 03:19:59.602787,v2.0-official,f,,10,10,14,15,regular,left_507,left,507,reach and move the mug,try to reach the mug,87,62
262,A1CCWENTISCPVY,paid,M3UQ9H2M,2026-05-28 03:19:56.41,2026-05-28 03:19:59.602787,v2.0-official,f,,10,10,14,15,regular,right_536,right,536,make some attempts to reach the mug,reach and move the mug,58,86
262,A1CCWENTISCPVY,paid,M3UQ9H2M,2026-05-28 03:19:56.41,2026-05-28 03:19:59.602787,v2.0-official,f,,10,10,14,15,regular,right_733,right,733,reach near the cups,reach  the cups and make some attempts to pick it up but it fails,55,86
262,A1CCWENTISCPVY,paid,M3UQ9H2M,2026-05-28 03:19:56.41,2026-05-28 03:19:59.602787,v2.0-official,f,,10,10,14,15,regular,right_217,right,217,reach near the yellow duck,reach near the yellow duck and make some attempts to pick it up,55,74
262,A1CCWENTISCPVY,paid,M3UQ9H2M,2026-05-28 03:19:56.41,2026-05-28 03:19:59.602787,v2.0-official,f,,10,10,14,15,regular,right_82,right,82,pick up the cup and pour into the bowl,try to pick up the circular tokens,55,77
262,A1CCWENTISCPVY,paid,M3UQ9H2M,2026-05-28 03:19:56.41,2026-05-28 03:19:59.602787,v2.0-official,f,,10,10,14,15,regular,left_727,left,727,reach and pick up the blue cup and put it down before completing the task,try to reach the cups.,77,63
262,A1CCWENTISCPVY,paid,M3UQ9H2M,2026-05-28 03:19:56.41,2026-05-28 03:19:59.602787,v2.0-official,f,,10,10,14,15,regular,left_430,left,430,reach and move the cup,reach near the cup but fails to move it,84,69
